Chemical,Repellent_skin_YF,Repellent_cloth_YF,
"Abietic acid, diethylene glycol ester (Flexalyn)",1,N/A,
"Abietic acid, ethyl ester",1,N/A,
"Abietic acid, hydrogenated methyl ester (Hercolyn)",1,N/A,
"Abietic acid, methyl ester (Abalyn)",1,N/A,
"Abietic-maleic anhydride adduct, n-butylimide",N/A,1,
"Abietic-maleic anhydride adduct, phenol condensate",N/A,1,
Acenaphthene,N/A,1,
Acetaldehyde dioctyl mercaptal,1,N/A,
Acetamide,N/A,1,
Acetanilide,N/A,1,
Acetic acid,N/A,N/A,
"Acetic acid, o-allyl-p-cresol ester",1,N/A,
"Acetic acid, o-allyphenyl ester",2,2,
"Acetic acid, amyl ester",1,N/A,
"Acetic acid, iso-amyl ester",1,N/A,
"Acetic acid, p-tert-amyl phenyl ester",1,N/A,
"Acetic acid, benzhydryl ester",1,N/A,
"Acetic acid, 2-benzoyl-2-methyl-1,3-propanediol diester",N/A,2,
"Acetic acid, benzyl ester",1,N/A,
"Acetic acid, benzylcrestyl ester (hydrogenated, mixed benzylcrestyl)",1,N/A,
"Acetic acid, 2-benzyloxy-ethyl ester",2,4,
"Acetic acid, bornyl ester",1,N/A,
"Acetic acid, 1,4-butanediol diester",2,2,
"Acetic acid, 2,3-butanediol diester (mostly meso)",1,N/A,
"Acetic acid, 2-butene-1, 4-diol diester",1,N/A,
"Acetic acid, 1-(n-butoxy)ethyl ester",2,N/A,
"Acetic acid, butyl ester",N/A,N/A,
"Acetic acid, 1,3-butylene-glycol diester",2,N/A,
"Acetic acid, 2-(4-tert-butylphenoxy)ethyl ester",1,N/A,
"Acetic acid, 3-butyne-1-ol ester",1,N/A,
"Acetic acid, cadmium salt",N/A,N/A,
"Acetic acid, calcium salt",N/A,1,
"Acetic acid, carvacryl ester",1,N/A,
"Acetic acid, carvomethyl ester",1,N/A,
"Acetic acid, cetyl ester",1,N/A,
"Acetic acid, 3-chloro-1-butanol ester",1,N/A,
"Acetic acid, chlorocarvacryl ester",1,N/A,
"Acetic acid, chlorothymyl ester",N/A,2,
"Acetic acid, 3-chloro-2-xenyl ester",1,N/A,
"Acetic acid, 5-chloro-2-xenyl ester",1,N/A,
"Acetic acid, cinnamyl ester",2,N/A,
"Acetic acid, citronellyl ester",1,N/A,
"Acetic acid, d-citronellyl ester",1,N/A,
"Acetic acid, copper salt, basic",N/A,N/A,
"Acetic acid, o-cresyl ester",1,N/A,
"Acetic acid, m-cresyl ester",1,N/A,
"Acetic acid, 1,2-cyclohexane-diol diester (cis and trans)",1,N/A,
"Acetic acid, 1,2-cyclohexane-diol monoester",1,N/A,
"Acetic acid, 1,2-cyclohexane-diol monoester (trans)",2,N/A,
"Acetic acid,1,3-cyclohexanediol diester",4,2,
"Acetic acid, 1,4-cyclohexane-diol diester",N/A,2,
"Acetic acid, cyclohexyl ester",1,N/A,
"Acetic acid, 4-cyclohexylcyclo-hexyl ester",1,N/A,
"Acetic acid, decamethylene diester",N/A,1,
"Acetic acid, decyl ester",1,N/A,
"Acetic acid, p,p'-dichloro-benzhydryl ester",N/A,1,
"Acetic acid, 3,4-dichloro-benzyl ester",N/A,1,
"Acetic acid, 1,3-dichloro-propyl ester",2,1,
"Acetic acid, dicyclohexyl-methyl ester",1,N/A,
"Acetic acid, beta-diethyl-aminothy1 ester",N/A,N/A,
"Acetic acid, diethylene glycol benhydryl ether ester",1,N/A,
"Acetic acid, diethylene glycol butyl ether ester",3,N/A,
"Acetic acid, diethylene glycol diester",1,N/A,
"Acetic acid, diethylene glycol monoester",2,2,
"Acetic acid, 2,2-diethyl-1,3-propanediol diester",1,N/A,
"Acetic acid, diglyceryl ether tetraester",1,N/A,
"Acetic acid, 5,5-dimethylcyclo-hexanediol-1,3 diester",1,N/A,
"Acetic acid, 2,5-dimethyl-3-hexone-2,5-diol, diester",2,N/A,
"Acetic acid, 1,1-dimethylol-2,4-dimethylcyclohexene-4 diester",1,N/A,
"Acetic acid, 2,2-dimethyl-trimethylene glycol-1,3 diester",1,N/A,
"Acetic acid, 4,6-dinitro-o-cresyl ester",N/A,N/A,
"Acetic acid, 2,4-dinitrophenyl ester",N/A,N/A,
"Acetic acid, dipentene carbinol esters",1,N/A,
