Chemical,Repellency_skin_YF,Repellency_skin_M,Repellency_clothes_YF,Repellency_clothes_M
Abietic acid,-,-,1,-
"Abietic acid, ethyl ester",1,1,-,-
"Abietic acid, 2-(2-hydroxyethoxy)ethyl ester",1,1,-,-
"Abietic acid, methyl ester",1,1,-,-
"Abietic acid, tetrahydro-, methyl ester",1,1,-,-
"Abietyl alcohol, thiocyanomethoxy-",1,1,1,1
Acenaphthene,-,-,1,1
"Acenaphthene, 3-bromo-",-,-,1,1
"Acenaphthene, 3-chloro-",-,-,-,-
"Acenaphthene, 3-nitro-",-,-,-,-
"Acetaldehyde, bis(2-chloroethyl) acetal",-,-,1,-
"Acetaldehyde, bis[2-(methoxymethoxy)ethyl] acetal",2,3,3,-
"Acetaldehyde, 2-chloroethyl 2, 4, 5-trichloro-phenyl acetal",-,-,4A,-
"Acetaldehyde, dioctyl mercaptal",1,-,-,-
"Acetaldehyde, bromo-, diallyl acetal",-,-,1,1
"Acetaldehyde, bromo-, diisobutyl acetal",-,-,1,1
"Acetaldehyde, chloro-, diisopropyl acetal",-,-,1,-
"Acetaldehyde, p-methoxyphenoxy-",-,-,1,1
"Acetaldehyde, (p-methoxyphenoxy)-, diethyl acetal",1,2,-,-
"Acetaldehyde, 1-naphthoxy-, diethyl acetal",2,2,1,-
"Acetaldehyde, 2-naphthoxy-",-,-,2,2
"Acetaldehyde, 2-naphthoxy-, diethyl acetal",1,2,-,-
"Acetaldehyde, phenoxy-, diethyl acetal",1,1,-,-
"Acetaldehyde, phenyl-",1,1,-,-
"Acetaldehyde, phenyl-, dimesityl acetal",1,1,-,-
"Acetaldehyde, phenyl-, dimethyl acetal",1,1,-,-
"Acetaldehyde, 1, 2, 3, 4-tetrahydro-2-naphthoxy-Acetanide",-,-,1,1
Acetanide,-,-,1,1
"Acetanide, N-allyl-alpha-butoxy-",4,-,4A,-
"Acetanide, N-allyl-N-butyl-",-,3,2,1
"Acetanide, alpha-allyloxy-N-octyl-",1,-,-,-
"Acetanide, N-(2-amino-1-hydroxyisobutyl)-alpha-butoxy-",2,1,-,-
"Acetanide, alpha-amoxy-N-isoamyl-",1,-,-,-
"Acetanide, N-amyl-",-,-,4,-
"Acetamide, N-amyl-alpha-butoxy-",4A,1,4,
"Acetamide, N-amyl-alpha-(p-chlorobenzyloxy)-",-,-,2,
"Acetamide, N-amyl-alpha-(p-methoxybenzyloxy)-",-,-,2,
"Acetamide, N,N'-benzylidenebis-",-,-,-,
"Acetamide, alpha-benzyloxy-N-dodecyl-",-,-,4A,1
"Acetamide, alpha, alpha-bis(p-chlorophenyl)-N,N-diethyl-",-,-,1,
"Acetamide, alpha, alpha-bis(p-chlorophenyl)-N-isobutyl-",-,-,2,
"Acetamide, N,N-bis(2-hydroxyethyl)-, diacetate",2,-,2,
"Acetamide, N-[1,1-bis(hydroxymethyl)propyl]-, diacetate",-,-,1,
"Acetamide, alpha-butoxy-N-chloroethyl-",2,-,-,
"Acetamide, alpha-butoxy-N-(1-chloromethyl-propyl)-",1,-,-,
"Acetamide, alpha-butoxy-N-cyclohexyl-",4,3,4A,
"Acetamide, alpha-butoxy-N,N-diethyl-",-,-,4,2
"Acetamide, alpha-(2-butoxyethoxy)-N-(chloro-ethyl)-",3,-,-,
"Acetamide, alpha-(2-butoxyethoxy)-N-cyclohexyl-",2,4,4A,
"Acetamide, N-butyl-",3,1,-,
