MATERIAL,Repellent_cloth_YF,Repellent_skin_YF,Repellent_wash_YF,Repellent_space_YF
"Abietic acid, ester with 2-allyl-4-hydroxy-3-methyl-2-cyclopenten-l-one",2,-,-,-
"Acetaldehyde, allyl 2-ethylhexyl acetal",1,-,-,-
"Acetaldehyde, 6-allylpiperonyl 2-(2-ethoxyethoxy)-ethyl acetal",1,-,-,-
"Acetaldehyde, S-2-benzothiazolyl O-2-chloroethyl monothioacetal",1,-,-,-
"Acetaldehyde, 6-bromo-a-(1-bromoethyl)piperonyl 2-(2-ethoxyethoxy)ethyl acetal",1,-,-,-
"Acetaldehyde, 3-[2-bromo-4,5-(methylenedioxy)phenyl]-2-methylpropyl isobutyl acetal",1,-,-,-
"Acetaldehyde, 2-[2-(2-butoxyethoxy)ethoxy]ethyl a-ethylpiperonyl acetal",1,-,-,-
"Acetaldehyde, 2-[2-(2-butoxyethoxy)ethoxy]ethyl 3,4-(methylenedioxy)phenyl acetal",1,-,-,-
"Acetaldehyde, 2-(2-butoxyethoxy)ethyl butyl acetal (crude)",1,-,-,6
"Acetaldehyde, 2-(2-butoxyethoxy)ethyl 2-(2-ethoxyethoxy)ethyl acetal (crude)",1,-,-,7
"Acetaldehyde, 2-(2-butoxyethoxy)ethyl isobutyl acetal (crude)",1,-,-,6
"Acetaldehyde, 2-(2-butoxyethoxy)ethyl 3,4-(methylenedioxy)phenyl acetal",1,-,-,-
"Acetaldehyde, 2-butoxyethyl?-ethylpiperonyl acetal",1,-,-,-
"Acetaldehyde, 2-butoxyethyl 3,4-(methylenedioxy)-phenyl acetal",1,-,-,8
"Acetaldehyde, butyl 2-chloroethyl acetal",1,-,-,-
"Acetaldehyde, butyl 2,3-dimethoxybenzyl acetal",1,-,-,6
"Acetaldehyde, butyl 1,3-dimethylbutyl acetal",1,-,-,-
"Acetaldehyde, butyl 1,1-dimethyl-2-propynyl acetal",1,-,-,-
"Acetaldehyde, butyl?-methylpiperonyl acetal",1,-,-,-
"Acetaldehyde, butyl heptyl acetal (crude)",1,-,-,6
"Acetaldehyde, butyl Ï-methoxybenzyl acetal (crude)",1,-,-,6
"Acetaldehyde, butyl 3-methoxybutyl acetal (crude)",1,-,-,6
"Acetaldehyde, butyl 1-methylheptyl acetal (crude)",1,-,-,6
"Acetaldehyde, butyl 2-methyl-3-[3,4-(methylenedioxy)-phenyl]propyl acetal (crude)",1,-,-,-
"Acetaldehyde, butyl phenyl acetal",1,-,-,-
"Acetaldehyde, butyl piperonyl acetal",1,-,-,6
"Acetaldehyde, butyl 2-(piperonyloxy)ethyl acetal",1,-,-,6
"Acetaldehyde, butyl tetrahydro-2-furyl acetal",1,-,-,-
"Acetaldehyde, 2-chloroethyl 2,3-dimethoxybenzyl acetal",1,-,-,7
"Acetaldehyde,?-chloroethyl?-ethylpiperonyl acetal",1,-,-,-
"Acetaldehyde, 2-chloroethyl piperonyl acetal",1,-,-,6
"Acetaldehyde, 2-chloroethyl veratryl acetal",1,-,-,7
"Acetaldehyde, cyclohexyl 2-methoxyethyl acetal",1,-,-,-
"Acetaldehyde, dibutyl acetal",1,-,-,-
"Acetaldehyde, diisobutyl acetal",1,-,-,-
"Acetaldehyde, 2,3-dimethoxybenzyl ethyl acetal",1,-,-,6
"Acetaldehyde, 2,3-dimethoxybenzyl 2-ethylhexyl acetal",1,-,-,6
"Acetaldehyde, 2,3-dimethoxybenzyl isobutyl acetal",1,-,-,6
"Acetaldehyde, 1,3-dimethylbutyl ethyl acetal",1,-,-,-
"Acetaldehyde, trans-3,7-dimethyl-2,6-octadienyl ethyl acetal",1,-,-,-
"Acetaldehyde, 2-[2-(2-ethoxyethoxy)ethoxy]ethyl?-ethylpiperonyl acetal",1,-,-,8
"Acetaldehyde, 2-[2-(2-ethoxyethoxy)ethoxy]ethyl 3,4-(methylenedioxy)phenyl acetal",1,-,-,6
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl?-ethylpiperonyl acetal",1,-,-,-
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl heptyl acetal(crude)",1,-,-,-
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl Ï-methoxybenzyl acetal(crude)",1,-,-,6
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl 3-methoxybutyl acetal(crude)",1,-,-,7
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl 3,4-(methylenedioxy)phenyl acetal",1,-,-,-
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl 3-[3,4-(methylenedioxy)phenyl]propyl acetal",1,-,-,6
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl 1-methylheptyl acetal(crude)",1,-,-,-
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl?-methyl-3,4-(methylenedioxy)phenethyl acetal",1,-,-,6
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl 2-methyl-3-[3,4-(methylenedioxy)phenyl]propyl acetal",1,-,-,6
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl?-methylpiperonyl acetal",1,-,-,7
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl p-(3-oxobutyl)-phenyl acetal (crude)",1,-,-,6
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl piperonyl acetal",1,-,-,6
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl 6-propenylpiperonyl acetal",1,-,-,6
"Acetaldehyde, 2-(2-ethoxyethoxy)ethyl 6-propylpiperonyl acetal",1,-,-,6
"Acetaldehyde, 2-ethylhexyl methyl acetal",1,-,-,-
"Acetaldehyde, 2-ethylhexyl piperonyl acetal",1,-,-,6
"Acetaldehyde, 2-ethylhexyl veratryl acetal",1,-,-,7
"Acetaldehyde, ethyl Ï-methoxyphenyl acetal",1,-,-,-
"Acetaldehyde, ethyl l-methylheptyl acetal",1,-,-,-
"Acetaldehyde, ethyl Ï-(3-oxobutyl)phenyl acetal (crude)",1,-,-,6
"Acetaldehyde, ethyl phenyl acetal",1,-,-,6
"Acetaldehyde, ethyl piperonyl acetal",1,-,-,6
"Acetaldehyde, ethyl veratryl acetal",1,-,-,6
"Acetaldehyde, heptyl isobutyl acetal (crude)",1,-,-,6
"Acetaldehyde, 2,4-hexadienyl isobutyl acetal",1,-,-,-
"Acetaldehyde, 2,4-hexadienyl 2-methoxyethyl acetal",1,-,-,-
"Acetaldehyde, isobutyl Ï-methoxybenzyl acetal (crude)",1,-,-,6
"Acetaldehyde, isobutyl 3-methoxybutyl acetal (crude)",1,-,-,7
"Acetaldehyde, isobutyl m-methylbenzyl acetal (crude)",1,-,-,-
"Acetaldehyde, isobutyl l-methylheptyl acetal (crude)",1,-,-,6
"Acetaldehyde, isobutyl 2-methyl-3-[3,4-(methylenedioxyphenyl]propyl acetal",1,-,-,-
"Acetaldehyde, isobutyl phenyl acetal",1,-,-,6
"Acetaldehyde, isobutyl piperonyl acetal",1,-,-,6
"Acetaldehyde, isobutyl 6-propylpiperonyl acetal (crude)",1,-,-,6
